sub_bin_id,bin_id,sub_bin_letter,north_lat,south_lat,west_lon,east_lon,center_lat,center_lon
E4a,E4,a,35.293112,35.293018,-101.602342,-101.602221,35.293065,-101.602281
E4b,E4,b,35.293112,35.293018,-101.602221,-101.602099,35.293065,-101.602160
E4c,E4,c,35.293112,35.293018,-101.602099,-101.601978,35.293065,-101.602039
E4d,E4,d,35.293018,35.292924,-101.602342,-101.602221,35.292971,-101.602281
E4e,E4,e,35.293018,35.292924,-101.602221,-101.602099,35.292971,-101.602160
E4f,E4,f,35.293018,35.292924,-101.602099,-101.601978,35.292971,-101.602039
E4g,E4,g,35.292924,35.292830,-101.602342,-101.602221,35.292877,-101.602281
E4h,E4,h,35.292924,35.292830,-101.602221,-101.602099,35.292877,-101.602160
E4i,E4,i,35.292924,35.292830,-101.602099,-101.601978,35.292877,-101.602039
F4a,F4,a,35.293112,35.293018,-101.601978,-101.601857,35.293065,-101.601917
F4b,F4,b,35.293112,35.293018,-101.601857,-101.601735,35.293065,-101.601796
F4c,F4,c,35.293112,35.293018,-101.601735,-101.601614,35.293065,-101.601675
F4d,F4,d,35.293018,35.292924,-101.601978,-101.601857,35.292971,-101.601917
F4e,F4,e,35.293018,35.292924,-101.601857,-101.601735,35.292971,-101.601796
F4f,F4,f,35.293018,35.292924,-101.601735,-101.601614,35.292971,-101.601675
F4g,F4,g,35.292924,35.292830,-101.601978,-101.601857,35.292877,-101.601917
F4h,F4,h,35.292924,35.292830,-101.601857,-101.601735,35.292877,-101.601796
F4i,F4,i,35.292924,35.292830,-101.601735,-101.601614,35.292877,-101.601675
G4a,G4,a,35.293112,35.293018,-101.601614,-101.601493,35.293065,-101.601553
G4b,G4,b,35.293112,35.293018,-101.601493,-101.601371,35.293065,-101.601432
G4c,G4,c,35.293112,35.293018,-101.601371,-101.601250,35.293065,-101.601311
G4d,G4,d,35.293018,35.292924,-101.601614,-101.601493,35.292971,-101.601553
G4e,G4,e,35.293018,35.292924,-101.601493,-101.601371,35.292971,-101.601432
G4f,G4,f,35.293018,35.292924,-101.601371,-101.601250,35.292971,-101.601311
G4g,G4,g,35.292924,35.292830,-101.601614,-101.601493,35.292877,-101.601553
G4h,G4,h,35.292924,35.292830,-101.601493,-101.601371,35.292877,-101.601432
G4i,G4,i,35.292924,35.292830,-101.601371,-101.601250,35.292877,-101.601311
A5a,A5,a,35.292830,35.292736,-101.603798,-101.603677,35.292783,-101.603737
A5b,A5,b,35.292830,35.292736,-101.603677,-101.603555,35.292783,-101.603616
A5c,A5,c,35.292830,35.292736,-101.603555,-101.603434,35.292783,-101.603495
A5d,A5,d,35.292736,35.292642,-101.603798,-101.603677,35.292689,-101.603737
A5e,A5,e,35.292736,35.292642,-101.603677,-101.603555,35.292689,-101.603616
A5f,A5,f,35.292736,35.292642,-101.603555,-101.603434,35.292689,-101.603495
A5g,A5,g,35.292642,35.292548,-101.603798,-101.603677,35.292595,-101.603737
A5h,A5,h,35.292642,35.292548,-101.603677,-101.603555,35.292595,-101.603616
A5i,A5,i,35.292642,35.292548,-101.603555,-101.603434,35.292595,-101.603495
E5a,E5,a,35.292830,35.292736,-101.602342,-101.602221,35.292783,-101.602281
E5b,E5,b,35.292830,35.292736,-101.602221,-101.602099,35.292783,-101.602160
E5c,E5,c,35.292830,35.292736,-101.602099,-101.601978,35.292783,-101.602039
E5d,E5,d,35.292736,35.292642,-101.602342,-101.602221,35.292689,-101.602281
E5e,E5,e,35.292736,35.292642,-101.602221,-101.602099,35.292689,-101.602160
E5f,E5,f,35.292736,35.292642,-101.602099,-101.601978,35.292689,-101.602039
E5g,E5,g,35.292642,35.292548,-101.602342,-101.602221,35.292595,-101.602281
E5h,E5,h,35.292642,35.292548,-101.602221,-101.602099,35.292595,-101.602160
E5i,E5,i,35.292642,35.292548,-101.602099,-101.601978,35.292595,-101.602039
F5a,F5,a,35.292830,35.292736,-101.601978,-101.601857,35.292783,-101.601917
F5b,F5,b,35.292830,35.292736,-101.601857,-101.601735,35.292783,-101.601796
F5c,F5,c,35.292830,35.292736,-101.601735,-101.601614,35.292783,-101.601675
F5d,F5,d,35.292736,35.292642,-101.601978,-101.601857,35.292689,-101.601917
F5e,F5,e,35.292736,35.292642,-101.601857,-101.601735,35.292689,-101.601796
F5f,F5,f,35.292736,35.292642,-101.601735,-101.601614,35.292689,-101.601675
F5g,F5,g,35.292642,35.292548,-101.601978,-101.601857,35.292595,-101.601917
F5h,F5,h,35.292642,35.292548,-101.601857,-101.601735,35.292595,-101.601796
F5i,F5,i,35.292642,35.292548,-101.601735,-101.601614,35.292595,-101.601675
G5a,G5,a,35.292830,35.292736,-101.601614,-101.601493,35.292783,-101.601553
G5b,G5,b,35.292830,35.292736,-101.601493,-101.601371,35.292783,-101.601432
G5c,G5,c,35.292830,35.292736,-101.601371,-101.601250,35.292783,-101.601311
G5d,G5,d,35.292736,35.292642,-101.601614,-101.601493,35.292689,-101.601553
G5e,G5,e,35.292736,35.292642,-101.601493,-101.601371,35.292689,-101.601432
G5f,G5,f,35.292736,35.292642,-101.601371,-101.601250,35.292689,-101.601311
G5g,G5,g,35.292642,35.292548,-101.601614,-101.601493,35.292595,-101.601553
G5h,G5,h,35.292642,35.292548,-101.601493,-101.601371,35.292595,-101.601432
G5i,G5,i,35.292642,35.292548,-101.601371,-101.601250,35.292595,-101.601311
